ปริมาณฝน(มิลลิเมตร),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รายวัน ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ที่,สถานี,เดือน/ปี,วันที่,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,รวม
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
1  ,376201-ตาก จ.ตาก,Jan-04,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
2  ,376201-ตาก จ.ตาก,Feb-04,0,0,0,0,0,0.1,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.5
3  ,376201-ตาก จ.ตาก,Mar-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
4  ,376201-ตาก จ.ตาก,Apr-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,20.9,0,0,0.2,-,28.2
5  ,376201-ตาก จ.ตาก,May-04,0,0,37.2,0,5.5,3.9,14.1,1.6,4.4,0,0,0,0,0,10.8,67.1,29.7,10.3,10.3,49.7,1.6,0,0,0,0,2.4,3.6,0.3,0,0,0,252.5
6  ,376201-ตาก จ.ตาก,Jun-04,1.5,0.9,0,0,0,0,0,0.2,6.7,14.6,22,14.5,3.5,4,0.5,7.7,1.6,2.5,13.2,7.7,1.6,7.7,2.4,6.6,0.1,0,4.2,1.1,0,0,-,124.8
7  ,376201-ตาก จ.ตาก,Jul-04,0,0,0,0,0.1,0,0.6,0,0.1,3.9,2.9,0,3.6,0.4,0,0,0,0,0,6,0,14.2,1.9,8.6,0.1,0,0,0,0,0,0,42.4
8  ,376201-ตาก จ.ตาก,Aug-04,1.8,8.8,19.5,0.6,0,1.5,0,0,1.2,0.2,0.1,0,0,0,0.1,0,0,0.3,0,0,0,0,0,0,1.2,0,0,0.2,0,0,0,35.5
9  ,376201-ตาก จ.ตาก,Sep-04,0,0,6.4,0,0,0,0,0.3,10.3,0.2,2.4,0,20.5,0.2,0,18,123.4,46.4,0.1,122.4,23.9,0,0,0,0,11.5,20,0,0,0,-,406
10  ,376201-ตาก จ.ตาก,Oct-04,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4
11  ,376201-ตาก จ.ตาก,Nov-04,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3.2,0,0,0,0,-,3.4
12  ,376201-ตาก จ.ตาก,Dec-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
13  ,376201-ตาก จ.ตาก,Jan-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
14  ,376201-ตาก จ.ตาก,Feb-05,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,5.8
15  ,376201-ตาก จ.ตาก,Mar-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
16  ,376201-ตาก จ.ตาก,Apr-05,0,0,48.8,20.1,0,0,0,0,0,0,0,3.8,5,0,0.1,0,0,0,0,0,0,8.6,6.4,0,0,0,0,0,0,0,-,92.8
17  ,376201-ตาก จ.ตาก,May-05,0,0,0,0,0,13.5,0,0,0,0,0,0,0,3.7,0,0,0,3.5,0,0.1,0,0,9,0,2.1,0,0,0,0,0,14.4,46.3
18  ,376201-ตาก จ.ตาก,Jun-05,1.3,10,0.9,1.5,0,0,0,0,3.5,9.3,5.2,8.2,0,7.6,0,5.2,10.4,40.3,1.3,5.3,7.4,0,0,0,0.8,0,0.1,0,0,0,-,118.3
19  ,376201-ตาก จ.ตาก,Jul-05,0,0,0,0,2.1,13.8,0,0,0,0,0,3.9,0.5,4,0,2.4,0,0,0,0,0.1,0,3.2,6,8.1,6,0,0.5,0,0.1,7.7,58.4
20  ,376201-ตาก จ.ตาก,Aug-05,9.6,0.2,1.6,4,1.8,0,0,0.5,0.9,0.4,2.9,6,0,18.1,0.7,0.5,5.5,16.9,4.6,0,0,0,0,0,0,0,0,0,0,0,0.2,74.4
21  ,376201-ตาก จ.ตาก,Sep-05,0,0,0.5,45.1,0,0.1,5,56,12.8,0.3,15.1,3.7,0.5,32.5,22.2,23.7,0.2,0,19.9,4.2,1.1,0,0.1,0,0,0,0,32.6,22.2,1.2,-,299
22  ,376201-ตาก จ.ตาก,Oct-05,0,8,0.5,4.7,4.3,0,30.1,2.5,4.5,0,0,1.6,3.5,10.2,0,0,0,0,0,0,0,0,0,2.3,1.5,37.7,1,0,2.1,4.1,10.3,128.9
23  ,376201-ตาก จ.ตาก,Nov-05,0.8,0,1.7,0,21,0,19.8,0,7.7,0,0,0,0,0,0,1.3,1.2,3.7,0,0.5,0,0,0,0,0,0,0,0,0,0,-,57.7
24  ,376201-ตาก จ.ตาก,Dec-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2
25  ,376201-ตาก จ.ตาก,Jan-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
26  ,376201-ตาก จ.ตาก,Feb-06,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,8.5
27  ,376201-ตาก จ.ตาก,Mar-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,31.8,0,0,0,0,0,0,0,0,1.9,0,0,41.1
28  ,376201-ตาก จ.ตาก,Apr-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,0,0,12.7,0,0,22,0,0,1,0.2,1,2.7,19.4,5.9,0,-,78.5
29  ,376201-ตาก จ.ตาก,May-06,0,0,0,0,0,0,1.3,0.7,0.4,1.2,8.2,0,0,0.5,2.8,0.7,0.1,30.5,17.4,13.9,106.4,9.4,50.5,23.6,0.5,23.3,5.5,0,1.3,14,0.5,312.7
30  ,376201-ตาก จ.ตาก,Jun-06,0,0.1,0.1,0.3,T,0,0,0,0,0,2.1,0.4,0,0,0,0,0,1,30.8,10.8,26.4,0,18.4,T,22.8,3.7,3.3,20.7,3.3,5.9,-,150.1
31  ,376201-ตาก จ.ตาก,Jul-06,20.5,2,0,1.5,2,11.7,8.4,0.6,4.1,1.2,13.8,0,0,8.4,0,0.5,T,18.6,1.9,3.7,0,0,0,0,0,1.3,1.5,0,5,0.5,1,108.2
32  ,376201-ตาก จ.ตาก,Aug-06,18.5,T,0.5,0,0,0,0,0,1.1,6.6,0.1,1,0,10,0,0,0,0,0.3,0.7,5.4,0.5,0,0,3.2,3.3,T,0,2.4,20.8,12.9,87.3
33  ,376201-ตาก จ.ตาก,Sep-06,11.3,0.2,0,0,0,0,0,0,8.5,5.3,8.2,37,34.3,T,4.1,9,2.1,4.1,9.3,1,4.5,44.9,0,0,10.7,70.5,72.6,4.7,0,0.1,-,342.4
34  ,376201-ตาก จ.ตาก,Oct-06,0,39.4,6,6,3,43.8,37.1,20.4,17,1.8,5.7,8,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,188.9
35  ,376201-ตาก จ.ตาก,Nov-06,0,0,0,0,0,0,0,0,0,0.1,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,16.8
36  ,376201-ตาก จ.ตาก,Dec-06,0,0,0,0,0,0,0,0,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T
37  ,376201-ตาก จ.ตาก,Jan-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
38  ,376201-ตาก จ.ตาก,Feb-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
39  ,376201-ตาก จ.ตาก,Mar-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
40  ,376201-ตาก จ.ตาก,Apr-07,0,0,0,0,0,0.6,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,7.8,0,0,0,11.7,0,-,22.3
41  ,376201-ตาก จ.ตาก,May-07,0.2,11.2,8.6,17.6,34,45.4,99.8,97.3,1.4,1.8,51.7,9.4,2,8.9,14.5,0,5.1,5.5,0,0.3,2,0,0,0,0,0,0,0,0.2,5.1,0,422
42  ,376201-ตาก จ.ตาก,Jun-07,0,0,1,2,0.8,3.3,0,28.2,0,0,0,0,0,1.2,0,0,0,0.5,10.2,14.3,0,0,0,6.5,0.2,36.1,8,1.6,2,0,-,115.9
43  ,376201-ตาก จ.ตาก,Jul-07,0,0,1.8,1,T,T,0,0.5,0,0,0,0,1.4,6.7,0,1.3,0.4,0,0,0.5,1,0,5.4,0.9,0,0,0,0,3.3,4.7,0.2,29.1
44  ,376201-ตาก จ.ตาก,Aug-07,1.3,0.4,0,0,0,0,0,4,3,3.6,10.9,0,0,0,0,0.1,0,0,0,0,0.4,1.1,4.5,0,0,0,0,0.4,23.1,4.5,1.6,58.9
45  ,376201-ตาก จ.ตาก,Sep-07,18.3,0,0,0.2,16.7,18.5,0,0,0.1,0.7,1.4,51.2,0,2.4,12.7,0,4.5,17.5,45.8,70.5,0,0,0,0,0,0,0,0.3,2.7,T,-,263.5
