station,datetime,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day30,day31,sum
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jan-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Feb-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Mar-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0.7,0,3.6
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Apr-98,0,0,0,2.6,3.9,0,0,0,0,0,0,0,0,0,0,0.3,0,3.6,1,0,0,0,0,0,0,0,11.3,0,0,0,-,22.7
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,May-98,0,0,0,0,0,0,0,0,0,0,0,0,24.6,0,0,0,10.1,12.2,12.8,4,0,0,0,0,0.1,6.3,18.5,6.1,10.3,0,66.1,171.1
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jun-98,8.3,0,0,0,0,68.5,0,0,0,12.2,1.8,0,0,0,0,0,0,0,0.1,0.3,2.6,2.1,6.3,3.9,0.5,0,0,0.6,5.6,1.4,-,114.2
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jul-98,0,8.5,7.8,5.4,19.7,3.1,5.6,0.2,0,1.5,13.6,20.6,0,0,39.3,4.3,0.8,10.5,0,0,0,0,0,7.8,3,1.2,3.6,0,0,0,9.1,165.6
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Aug-98,17.1,10,0.6,2.2,0,0,0,0.6,9.5,7.1,9.5,0.2,1.7,1.2,0,0,0,12.3,3.7,21.1,0.8,83.4,11,1.6,36.5,0.2,5.3,0,0,1.2,6.7,243.5
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Sep-98,0,0.8,4,12.8,26.3,16.7,11.6,48,3.6,4.5,0.5,4,0,0,0,7.3,2.1,4.8,5.6,4.1,0,0,1,0,0,0,0,0,0,0,-,157.7
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Oct-98,0,0,0,0,0,0,0,3.5,0.8,7.8,0,0,0,3.5,0,0,0,0.2,2.9,0,0,0,0,0,0,1.5,1,1.9,0,5.9,0,29
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Nov-98,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,3.5,2.4,3.9,6.2,0,0,0,0,0,1.6,0,0,-,23.9
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Dec-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,2.9
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jan-99,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.1,1.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Feb-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,6,-,-,-,7.1
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Mar-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4,0,0,0,0,0,0,0,0,12.4
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Apr-99,0,0,0,0,0,35.5,35.9,0,0,0,0,0,0,7.1,20.8,13.7,0,0,0,0,0,0,0,0,0,0,17.9,0,0,0,-,130.9
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,May-99,0,4.2,0,0.2,9.6,0,0,4.6,0,14.4,20,9.6,0.6,11.2,3,0.2,0,0,10.4,50.1,4.8,9.8,21.9,4.1,0.4,2.3,1.6,0.6,14.9,12.6,0,211.1
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jun-99,6,2,16.1,23.5,0,0,0,0,0.5,0.2,0,0,0,0.6,0,0,0,6.1,0.8,1.4,0.3,1,50.1,9.3,2.2,0.2,0,0,0,0,-,120.3
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jul-99,0,0,0,3.7,4.2,22.8,0.3,8.7,0.1,0,18.3,4.2,0.1,1,0.5,3,16.9,2.2,13.3,0,12.8,0.8,0.3,0.3,1.2,0.9,0.3,13.5,9.6,1.9,5.8,146.7
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Aug-99,26.1,0.1,3.3,31.2,8.6,4.8,27.4,23.6,0.4,1.6,40.5,30.5,4.6,5.8,0.5,0,0,1.3,1.3,0,0,7.9,1.4,9.3,0.3,6.3,2.5,2.2,7.6,9.4,5.4,263.9
