น้ำระเหยถาด(มิลลิเมตร),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รายวัน ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ที่,สถานี,เดือน/ปี,วันที่,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,เฉลี่ย
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
1  ,376201-ตาก จ.ตาก,Jan-98,3.6,3.1,4.4,3.7,2.9,4.3,3.7,3.7,8.1,3.2,3.9,8.3,6.5,7.4,7.6,8.5,5.2,6,3.6,4.2,4.8,5.9,5.8,5.2,4.7,4.1,2.3,4.8,3.9,4.3,3.6,4.9
2  ,376201-ตาก จ.ตาก,Feb-98,2.9,5.2,5.8,4.9,6.9,5.1,4.1,4.8,5.7,7.7,5.8,5.3,9.9,8.5,9,8.7,9.2,8.7,9.2,11.1,9.7,7.7,7.8,7.2,8,10.4,9.5,7.8,-,-,-,7.4
3  ,376201-ตาก จ.ตาก,Mar-98,6.9,7.2,8.9,9.5,8.9,10.5,13.7,11.1,12.9,10.4,9.4,9,7,7.6,11.9,10.3,11.5,9.7,11.6,10.7,10,10.8,6.7,8,9.1,6.4,6.3,6.4,8.5,6.9,7.6,9.2
4  ,376201-ตาก จ.ตาก,Apr-98,7.1,7.5,5.7,5.7,6,7,7.9,8.7,9.5,9.2,8,11,13.4,10.8,7.5,9.6,6.8,5.2,6.6,9.2,6.9,6.8,6.6,10.6,13.8,12.7,13.6,13.7,10.3,14.5,-,9.1
5  ,376201-ตาก จ.ตาก,May-98,12.1,14.1,9,11.2,11.1,8.7,6.6,8.5,6.7,7.7,7,6.7,2.1,6.6,9.1,9.3,9.5,4.2,1.6,0.6,2.1,11.8,4.6,9.6,6.5,4.5,3.8,5.4,4.7,7.5,6.1,7.1
6  ,376201-ตาก จ.ตาก,Jun-98,6.1,8.5,7.5,8.5,9.1,8.5,8.4,8.2,6,8,7.8,3.4,5.7,9.8,8.5,7.8,11,7,6.1,8.3,8.7,7.9,13.8,9.4,7.2,9.4,3.9,4.6,8.5,2.3,-,7.7
7  ,376201-ตาก จ.ตาก,Jul-98,4.2,7.2,3,0.9,1.3,1.3,2.1,3.4,1.7,1.8,7.6,3.8,4.2,5.3,3.4,5.3,5,6.2,6.4,7.2,9.3,7.7,8.5,6.7,6.8,4.8,3.9,4.2,9.2,5.8,4.9,4.9
8  ,376201-ตาก จ.ตาก,Aug-98,7.7,4,6.4,4,4.1,4.7,9.2,2.9,2.5,3.7,4.6,4.1,9.1,8.9,5.4,2.7,4.7,4.9,0.6,6.4,4.9,1.8,2.9,4.3,4.5,5.9,5.7,10.6,7.5,6.8,5,5.2
9  ,376201-ตาก จ.ตาก,Sep-98,2.9,3.8,1.8,4.5,5.9,3.4,2.1,8,5.1,4.5,4.1,4.4,6.3,6.8,4,3.5,3.5,3.5,5.3,3.7,3.4,2.9,5.1,3.4,3.5,3.1,5.1,3,4.2,3.9,-,4.2
10  ,376201-ตาก จ.ตาก,Oct-98,4,2.5,1.8,2.8,2.8,4.2,1.9,1.3,4.4,5.5,0.4,4,2.5,2.1,6.9,6.5,6.1,1.7,2.8,4.3,2,2.3,5.4,2.3,2.2,5.5,3.2,2.5,6.1,1.3,2.9,3.4
