ความชื้นสัมพัทธ์(เปอร์เซ็นต์),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รายวัน ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ที่,สถานี,เดือน/ปี,วันที่,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,เฉลี่ย
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
1  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jan-14,84,84,84,82,80,81,79,78,78,79,82,82,82,81,80,78,83,74,71,80,77,77,78,78,80,81,80,80,76,78,75,79
2  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Feb-14,79,76,71,71,73,76,75,73,72,72,76,76,73,72,69,72,68,68,68,66,71,68,68,66,63,64,64,67,-,-,-,71
3  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Mar-14,64,62,65,60,61,59,62,61,62,59,61,59,59,59,60,55,58,55,53,56,65,62,58,62,60,55,55,55,55,52,50,59
4  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Apr-14,51,56,63,71,67,65,63,60,60,60,57,65,55,54,54,59,61,55,55,59,61,58,55,51,51,64,60,52,56,63,-,59
5  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,May-14,66,60,55,56,65,74,74,61,58,68,58,54,54,59,75,67,59,65,76,77,70,72,74,60,56,63,78,76,79,80,70,66
6  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jun-14,81,73,64,65,65,73,73,83,83,87,82,85,88,82,78,83,84,87,86,83,75,79,81,80,79,75,74,76,73,83,-,79
7  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jul-14,85,85,90,81,78,76,87,93,88,79,81,83,87,83,79,78,82,83,89,86,88,88,87,81,80,76,78,83,84,86,82,83
8  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Aug-14,84,90,88,90,92,88,88,86,88,83,81,82,85,92,86,87,82,85,85,90,83,78,80,80,83,83,84,86,88,93,90,86
9  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Sep-14,84,90,89,88,78,81,80,80,78,82,78,81,73,75,79,82,81,84,86,81,83,87,84,82,88,85,81,78,82,83,-,82
10  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Oct-14,81,86,79,80,85,83,77,77,82,81,80,85,82,78,82,81,80,78,76,80,84,88,85,83,83,82,81,78,79,79,79,81
11  ,300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Nov-14,79,79,84,85,91,92,90,86,84,83,83,79,79,81,82,81,81,81,81,81,82,80,82,83,82,83,79,77,78,75,-,82
