station,datetime,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day30,day31,average
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jan-98,75,74.0,74.0,77.0,80.0,82.0,80.0,78.0,74.0,73.0,70.0,69.0,69.0,69.0,73.0,73.0,69.0,68.0,68.0,70.0,68.0,71.0,72.0,71.0,70.0,70.0,67.0,66.0,69,69,65,72
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Feb-98,65,67.0,67.0,66.0,62.0,58.0,61.0,63.0,64.0,60.0,62.0,59.0,58.0,59.0,58.0,56.0,57.0,60.0,64.0,64.0,62.0,60.0,62.0,58.0,56.0,55.0,54.0,56.0,-,-,-,60
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Mar-98,50,49.0,51.0,53.0,49.0,50.0,47.0,45.0,42.0,41.0,48.0,51.0,52.0,51.0,48.0,45.0,47.0,50.0,47.0,44.0,37.0,40.0,36.0,37.0,46.0,47.0,43.0,45.0,47,54,59,47
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Apr-98,50,44.0,47.0,52.0,57.0,58.0,46.0,42.0,44.0,43.0,42.0,44.0,42.0,44.0,46.0,55.0,61.0,72.0,71.0,58.0,53.0,49.0,47.0,46.0,45.0,44.0,53.0,58.0,47,47,-,50
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,May-98,44,45.0,46.0,51.0,46.0,43.0,42.0,48.0,43.0,41.0,46.0,52.0,58.0,68.0,57.0,49.0,61.0,80.0,90.0,79.0,73.0,69.0,68.0,61.0,61.0,66.0,85.0,79.0,79,74,70,60
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jun-98,77,72.0,63.0,68.0,67.0,69.0,78.0,68.0,68.0,77.0,79.0,76.0,70.0,69.0,63.0,64.0,65.0,67.0,68.0,71.0,74.0,79.0,82.0,80.0,76.0,74.0,75.0,80.0,83,83,-,73
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Jul-98,73,77.0,87.0,92.0,88.0,85.0,80.0,75.0,78.0,81.0,83.0,85.0,81.0,73.0,79.0,86.0,80.0,79.0,73.0,69.0,70.0,67.0,69.0,77.0,86.0,87.0,76.0,77.0,76,75,81,79
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Aug-98,85,88.0,81.0,84.0,80.0,74.0,70.0,72.0,82.0,80.0,85.0,80.0,77.0,78.0,77.0,76.0,78.0,84.0,80.0,83.0,83.0,79.0,83.0,87.0,82.0,82.0,82.0,78.0,75,76,77,80
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Sep-98,78,79.0,80.0,76.0,78.0,86.0,90.0,86.0,83.0,85.0,85.0,83.0,81.0,79.0,83.0,80.0,84.0,81.0,86.0,82.0,79.0,80.0,80.0,81.0,80.0,76.0,81.0,72.0,70,71,-,81
300201-แม่ฮ่องสอน จ.แม่ฮ่องสอน,Oct-98,71,69.0,71.0,67.0,72.0,80.0,77.0,82.0,86.0,81.0,81.0,77.0,76.0,77.0,78.0,75.0,73.0,74.0,81.0,80.0,77.0,74.0,72.0,74.0,75.0,74.0,79.0,79.0,79,83,76,76
